# ----------------------------------------
# chohama-main
# Google オーガニック検索レポート: ランディング ページ + クエリ文字列-タブ: 3
# 20260606-20260613
# ----------------------------------------

ランディング ページ + クエリ文字列,Google のオーガニック検索のクリック数,Google のオーガニック検索の表示回数,Google のオーガニック検索のクリック率,Google のオーガニック検索の平均掲載順位,アクティブ ユーザー,エンゲージのあったセッション数,エンゲージメント率,イベント数,キーイベント
,119,1643,0.07242848447961046,8.777236762020694,116,42,0.3088235294117647,470,0,総計
/blog/guide/beginner/hamanako-fishing-rules-and-manners/,18,308,0.05844155844155844,7.0519480519480515,23,0,0,71,0
/points/wading-points/,9,32,0.28125,4.125,7,6,0.8571428571428571,31,0
/blog/june-tako-opening/,8,66,0.12121212121212122,9.954545454545455,4,0,0,26,0
/blog/guide/theory/night-fishing-light/,7,83,0.08433734939759036,7.771084337349397,5,0,0,17,0
/points/araibenten-umiduripark/,5,28,0.17857142857142858,8.321428571428571,0,0,0,0,0
/blog/7-month/,3,26,0.11538461538461539,7.884615384615385,5,0,0,15,0
/blog/bait-vending-machines/,3,9,0.3333333333333333,6.333333333333333,1,0,0,5,0
/blog/benten-nagashi-fishing/,3,26,0.11538461538461539,7.615384615384615,3,1,0.25,12,0
/blog/guide/method/cho-nage-fishing/,3,6,0.5,16,2,0,0,8,0
/blog/travel/hamanako-kanko-hub/,3,42,0.07142857142857142,20.428571428571427,3,1,0.25,12,0
/map/,3,103,0.02912621359223301,10.640776699029127,5,4,0.8,31,0
/points/ajing-fukabori/,3,18,0.16666666666666666,7.611111111111111,3,1,0.3333333333333333,10,0
/points/drive-fishing-spots/,3,58,0.05172413793103448,7.586206896551724,3,2,0.6666666666666666,11,0
/,2,26,0.07692307692307693,13.73076923076923,1,1,1,5,0
/blog/anazuri/,2,14,0.14285714285714285,5.142857142857143,2,2,1,8,0
/blog/fukase-nimaishio-logic/,2,2,1,5,1,1,1,4,0
/blog/hamanako-kayak-fishing/,2,3,0.6666666666666666,8.333333333333332,2,0,0,6,0
/blog/kisu-points/,2,30,0.06666666666666667,12.4,5,2,0.3333333333333333,20,0
/blog/shops/,2,13,0.15384615384615385,6.3076923076923075,2,0,0,6,0
/blog/tako-points/,2,6,0.3333333333333333,6.833333333333333,2,1,0.5,6,0
