# ----------------------------------------
# chohama-main
# Google オーガニック検索レポート: ランディング ページ + クエリ文字列-タブ: 3
# 20260627-20260704
# ----------------------------------------

ランディング ページ + クエリ文字列,Google のオーガニック検索のクリック数,Google のオーガニック検索の表示回数,Google のオーガニック検索のクリック率,Google のオーガニック検索の平均掲載順位,アクティブ ユーザー,エンゲージのあったセッション数,エンゲージメント率,イベント数,キーイベント
,182,2108,0.08633776091081594,8.716318785578748,149,46,0.25555555555555554,678,0,総計
/blog/guide/beginner/hamanako-fishing-rules-and-manners/,26,279,0.0931899641577061,6.243727598566308,27,6,0.21428571428571427,97,0
/map/,17,181,0.09392265193370165,7.4088397790055245,14,9,0.5294117647058824,96,0
/blog/june-tako-opening/,14,89,0.15730337078651685,7.01123595505618,13,3,0.17647058823529413,55,0
/blog/7-month/,9,129,0.06976744186046512,6.37984496124031,10,2,0.18181818181818182,34,0
/blog/chinutop-july/,9,33,0.2727272727272727,6.515151515151516,5,2,0.2857142857142857,22,0
/points/ajing-fukabori/,9,63,0.14285714285714285,8.317460317460316,8,1,0.1111111111111111,26,0
/points/wading-points/,9,23,0.391304347826087,4.173913043478261,8,2,0.18181818181818182,36,0
/points/nakanoshima/,7,43,0.16279069767441862,8.069767441860465,2,2,1,27,0
/points/amihosiba/,6,156,0.038461538461538464,9.564102564102564,4,0,0,12,0
/points/drive-fishing-spots/,5,73,0.0684931506849315,8.547945205479452,1,1,1,4,0
/blog/night-chining/,4,48,0.08333333333333333,11.416666666666666,1,0,0,5,0
/blog/yearly-fishing-calendar/,4,56,0.07142857142857142,7.767857142857143,5,2,0.3333333333333333,21,0
/blog/benten-nagashi-fishing/,3,26,0.11538461538461539,6.884615384615385,3,0,0,9,0
/blog/guide/beginner/hamanako-rainy-day-fishing/,3,29,0.10344827586206896,5.206896551724138,3,1,0.25,17,0
/blog/guide/theory/night-fishing-light/,3,68,0.04411764705882353,6.985294117647059,1,1,1,10,0
/blog/hazekura-intro/,3,10,0.3,7.1,2,0,0,6,0
/blog/kurodai/,3,22,0.13636363636363635,10.363636363636363,3,2,0.6666666666666666,12,0
/points/araibenten-umiduripark/,3,57,0.05263157894736842,8.842105263157894,1,0,0,5,0
/points/family-car-points/,3,64,0.046875,9.671875,4,2,0.5,15,0
/points/imagiremaisakatei/,3,7,0.42857142857142855,4.285714285714286,2,0,0,6,0
/blog/guide/beginner/hamanako-sabiki-best-season/,2,20,0.1,8.25,2,0,0,6,0
/blog/guide/method/hamanako-boat-fishing/,2,12,0.16666666666666666,16.75,1,0,0,3,0
/blog/hamanako-kayak-fishing/,2,15,0.13333333333333333,6.2,6,5,0.8333333333333334,36,0
/blog/hamanako-train-fishing-spots/,2,8,0.25,5,2,1,0.5,9,0
/blog/mebaru-kasago-beginner/,2,18,0.1111111111111111,7.555555555555555,1,0,0,3,0
/blog/tako-points/,2,12,0.16666666666666666,18.333333333333332,2,1,0.5,6,0
/blog/tide-table-logic/,2,11,0.18181818181818182,7.545454545454546,1,0,0,5,0
/points/yuto-yamazaki/,2,10,0.2,7.8,1,0,0,5,0
/,1,43,0.023255813953488372,24.41860465116279,1,0,0,3,0
/blog/6-month/,1,10,0.1,7.2,1,0,0,3,0
/blog/8-month/,1,10,0.1,6.3,1,0,0,3,0
/blog/araibenten-live-camera/,1,4,0.25,5,0,0,0,0,0
/blog/chinutop-lures/,1,8,0.125,4,0,0,0,0,0
/blog/guide/method/cho-nage-fishing/,1,8,0.125,12.25,1,0,0,3,0
/blog/haku-sasuke/,1,1,1,4,1,0,0,3,0
/blog/kibire-cooking/,1,7,0.14285714285714285,7.571428571428571,1,0,0,3,0
/blog/kurodai-tactics/,1,6,0.16666666666666666,5.166666666666667,1,1,1,5,0
/blog/mejina-cooking/,1,20,0.05,8.8,0,0,0,0,0
/blog/mejina-tactics/,1,1,1,10,1,0,0,3,0
/blog/mejina/,1,1,1,3,0,0,0,2,0
/blog/night-fishing/,1,5,0.2,6.4,1,0,0,3,0
/blog/rental-boat-guide/,1,6,0.16666666666666666,7.166666666666667,1,0,0,3,0
/blog/seabass-points/,1,9,0.1111111111111111,16.444444444444443,1,0,0,3,0
/points/boat-seabass-fukabori/,1,1,1,11,0,0,0,0,0
/points/eging-fukabori/,1,17,0.058823529411764705,8.647058823529413,1,1,1,4,0
/points/murakushi-kaisuiyoku/,1,5,0.2,6.6,1,0,0,5,0
/points/otomeen/,1,6,0.16666666666666666,8.333333333333332,0,0,0,0,0
/points/sakujyoseki/,1,12,0.08333333333333333,6.416666666666667,0,0,0,0,0
/points/sakumekaigan/,1,3,0.3333333333333333,6.666666666666667,0,0,0,0,0
/points/shinkawa-kakou/,1,4,0.25,7.75,0,0,0,0,0
/points/tako-fukabori/,1,18,0.05555555555555555,7.722222222222222,1,0,0,3,0
/affiliates/,0,10,0,7.5,0,0,0,0,0
/blog/,0,14,0,28.071428571428573,0,0,0,2,0
/blog/11-month/,0,1,0,10,0,0,0,0,0
/blog/12-december-chinta/,0,1,0,7,0,0,0,0,0
/blog/4-month/,0,2,0,8.5,1,0,0,3,0
/blog/9-month/,0,1,0,9,0,0,0,0,0
/blog/aji-saba-sappa-beginner/,0,4,0,7.25,0,0,0,0,0
/blog/amazon-sale-tackle-strategy/,0,3,0,8,0,0,0,0,0
/blog/august-hazekura/,0,1,0,4,0,0,0,0,0
/blog/autumn-guide/,0,1,0,14,0,0,0,0,0
/blog/bachinuke-season-forecast-2026/,0,4,0,13.5,0,0,0,0,0
/blog/bait-vending-machines/,0,2,0,9,0,0,0,0,0
/blog/bentenjima/,0,2,0,4.5,0,0,0,0,0
/blog/cooking/aji-furai-recipe/,0,3,0,33.666666666666664,0,0,0,0,0
/blog/cooking/kurodai-shioyaki-recipe/,0,5,0,10.4,0,0,0,0,0
/blog/cooking/nezakana-nitsuke-recipe/,0,3,0,8.333333333333332,0,0,0,0,0
/blog/cooking/tako-karaage-recipe/,0,1,0,11,0,0,0,0,0
/blog/eging-points,0,2,0,6,0,0,0,0,0
/blog/eging-tactics/,0,2,0,4.5,0,0,0,0,0
/blog/eging/,0,2,0,11,0,0,0,0,0
/blog/flatfish-beginner/,0,2,0,7.5,0,0,0,0,0
/blog/flatfish-cooking/,0,2,0,9.5,0,0,0,0,0
/blog/flatfish-tactics/,0,1,0,5,0,0,0,0,0
/blog/golden-week-hamanako-fishing,0,2,0,13.5,0,0,0,0,0
/blog/guide/,0,2,0,32.5,0,0,0,0,0
/blog/guide/beginner/hamanako-poisonous-fish-guide/,0,4,0,5.5,0,0,0,0,0
/blog/guide/method/,0,4,0,5.25,0,0,0,0,0
/blog/guide/method/fukase-fishing/,0,7,0,7.428571428571429,0,0,0,0,0
/blog/guide/method/hamanako-sup-fishing/,0,1,0,6,0,0,0,0,0
/blog/guide/method/myaku-hechi-fishing/,0,2,0,8,0,0,0,0,0
/blog/guide/method/night-float-fishing/,0,1,0,11,0,0,0,0,0
/blog/guide/theory/area-strategy-theory/,0,1,0,2,1,0,0,2,0
/blog/guide/theory/barometric-pressure-fishing/,0,2,0,9.5,0,0,0,0,0
/blog/guide/theory/day-vs-night/,0,3,0,8,0,0,0,0,0
/blog/guide/theory/feeding-switch/,0,1,0,7,0,0,0,0,0
/blog/guide/theory/hamanako-weather-vs-hamamatsu/,0,20,0,7,0,0,0,0,0
/blog/guide/theory/imagiri-current-logic/,0,1,0,7,1,0,0,3,0
/blog/guide/theory/moon-phase-pattern/,0,2,0,8.5,0,0,0,0,0
/blog/guide/theory/structure-theory/,0,1,0,10,0,0,0,0,0
/blog/guide/theory/turbidity-water-color/,0,1,0,11,0,0,0,0,0
/blog/haku-pattern/,0,1,0,4,0,0,0,0,0
/blog/hamanako-kurodai-topwater/,0,3,0,4.666666666666666,0,0,0,0,0
/blog/karei-tactics/,0,2,0,8.5,0,0,0,0,0
/blog/kawahagi-points,0,1,0,1,0,0,0,0,0
/blog/kawahagi-tactics/,0,1,0,10,0,0,0,0,0
/blog/kibire-beginner/,0,1,0,5,0,0,0,0,0
/blog/kisu-beginner/,0,2,0,15,0,0,0,0,0
/blog/kisu-cooking/,0,4,0,12.5,0,0,0,0,0
/blog/kisu-points/,0,12,0,13.166666666666666,1,0,0,3,0
/blog/kurodai-complete-guide/,0,1,0,7,0,0,0,0,0
/blog/magochi-bottom-wind/,0,10,0,13.2,0,0,0,0,0
/blog/may-fishing/,0,4,0,12,0,0,0,0,0
/blog/mebaru-kasago-cooking/,0,1,0,11,0,0,0,0,0
/blog/mebaru-kasago/,0,5,0,10,1,0,0,3,0
/blog/mejina-beginner/,0,1,0,6,0,0,0,0,0
/blog/night-seabass/,0,2,0,6,0,0,0,0,0
/blog/november-guide/,0,1,0,4,0,0,0,0,0
/blog/okuhamanako-haze-fishing,0,2,0,4,0,0,0,0,0
/blog/parking-toilet-guide/,0,1,0,20,1,0,0,3,0
/blog/sabiki-set-comparison/,0,1,0,6,0,0,0,0,0
/blog/sayori-beginner-guide/,0,6,0,37.166666666666664,0,0,0,0,0
/blog/sayori/,0,1,0,5,0,0,0,0,0
/blog/seabass/,0,3,0,4.333333333333334,0,0,0,0,0
/blog/shops/,0,19,0,8.736842105263158,0,0,0,0,0
/blog/squid-complete/,0,4,0,4.25,0,0,0,0,0
/blog/tako-cooking/,0,4,0,7.75,0,0,0,0,0
/blog/tako-tactics/,0,8,0,7.75,0,0,0,0,0
/blog/travel/hamanako-kanko-hub/,0,5,0,13.6,0,0,0,0,0
/blog/travel/omote-area-travel/,0,1,0,7,0,0,0,0,0
/blog/weekly-report-2026-04-02/,0,4,0,9.25,0,0,0,0,0
/blog/winter-shinp-strategy/,0,1,0,10,0,0,0,0,0
/points/,0,8,0,8.5,0,0,0,0,0
/points/boatrace-hamanako/,0,1,0,12,0,0,0,0,0
/points/chining-fukabori/,0,1,0,14,0,0,0,0,0
/points/gardenpark/,0,2,0,15.5,1,1,1,17,0
/points/hamayu-ohashi/,0,1,0,7,1,0,0,3,0
/points/haze-fukabori/,0,26,0,16.923076923076923,0,0,0,0,0
/points/ime/,0,1,0,5,0,0,0,0,0
/points/isajigawa/,0,5,0,9.4,0,0,0,0,0
/points/kangetsuen/,0,3,0,10,0,0,0,0,0
/points/konankoukou/,0,2,0,6,0,0,0,0,0
/points/magochi-fukabori/,0,1,0,5,0,0,0,0,0
/points/matsumigaura/,0,1,0,10,0,0,0,0,0
/points/mejina-fukabori/,0,15,0,18.533333333333335,0,0,0,0,0
/points/miyakodagawa/,0,12,0,9,0,0,0,0,0
/points/murakushi-fishing-port,0,1,0,5,0,0,0,0,0
/points/murakushi-kaisuiyoku,0,1,0,6,0,0,0,0,0
/points/nagisaen,0,2,0,6,0,0,0,0,0
/points/nagisaen/,0,1,0,5,0,0,0,0,0
/points/photonics-under/,0,2,0,5,0,0,0,0,0
/points/pokochan-coast/,0,3,0,5.333333333333333,0,0,0,0,0
/points/sayori-fukabori/,0,1,0,2,0,0,0,0,0
/points/seabass-season-fukabori/,0,5,0,19.6,0,0,0,0,0
/points/syotaijihana/,0,1,0,3,0,0,0,0,0
/points/utiyama-kaigan/,0,1,0,4,0,0,0,0,0
/points/waji-boat/,0,4,0,15.25,0,0,0,0,0
/points/washidukou/,0,4,0,8.75,0,0,0,0,0
/blog/aji-saba-sappa/,0,0,0,0,0,0,0,2,0

