# ----------------------------------------
# chohama-main
# 週報PPDCA用-1week-自由形式 1
# 20260704-20260711
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,合計,合計,合計,合計,合計
ページ タイトル,ランディング ページ,セッションの参照元 / メディア,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント
,,,445,354,0.25617977528089886,8.262921348314606,0,445,354,0.25617977528089886,8.262921348314606,0,総計
浜名湖の釣り禁止エリア・漁業権・マナーまとめ｜知って安心の基礎ルール解説 | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners,google / organic,38,36,0.15789473684210525,3.6578947368421053,0,38,36,0.15789473684210525,3.6578947368421053,0
7月の浜名湖釣り完全ガイド｜夏休みファミリーサビキとハゼ釣りの黄金期 | 釣！浜名湖,/blog/7-month,google / organic,13,13,0.15384615384615385,8.615384615384615,0,13,13,0.15384615384615385,8.615384615384615,0
新居弁天海釣公園｜浜名湖No.1の釣りポイント完全ガイド（表浜名湖） | 釣！浜名湖,/points/araibenten-umiduripark,google / organic,13,10,0.15384615384615385,0,0,13,10,0.15384615384615385,0,0
浜名湖釣りポイントマップ | 釣！浜名湖,/map,google / organic,10,10,0.4,0,0,10,10,0.4,0,0
【浜名湖攻略】カヤックフィッシング完全ガイド｜激流を避けて大物を狙う | 釣！浜名湖,/blog/hamanako-kayak-fishing,google / organic,9,9,0.3333333333333333,0,0,9,9,0.3333333333333333,0,0
浜名湖のマダコ釣り6月開幕｜初心者でも数釣りが狙える堤防ポイント | 釣！浜名湖,/blog/june-tako-opening,google / organic,13,9,0.07692307692307693,23.307692307692307,0,13,9,0.07692307692307693,23.307692307692307,0
浜名湖・車横付け釣り場6選｜駐車場・トイレ完備で子連れ安心のファミリーポイント | 釣！浜名湖,/points/family-car-points,google / organic,9,9,0.5555555555555556,0,0,9,9,0.5555555555555556,0,0
浜名湖のマダコ釣り6月開幕｜初心者でも数釣りが狙える堤防ポイント | 釣！浜名湖,/blog/june-tako-opening,yahoo / organic,9,8,0.3333333333333333,5,0,9,8,0.3333333333333333,5,0
浜名湖の釣り禁止エリア・漁業権・マナーまとめ｜知って安心の基礎ルール解説 | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners,yahoo / organic,9,8,0.2222222222222222,0,0,9,8,0.2222222222222222,0,0
浜名湖マダコ完全攻略ガイド｜夏の新ダコ爆釣から大型狙いの「底剥がし」テクニックまで | 釣！浜名湖,/points/tako-fukabori,google / organic,10,8,0,0,0,10,8,0,0,0
浜名湖・車横付け釣り場6選｜駐車場・トイレ完備で子連れ安心のファミリーポイント | 釣！浜名湖,/points/family-car-points,yahoo / organic,7,7,0.14285714285714285,0,0,7,7,0.14285714285714285,0,0
浜名湖チヌトップ攻略｜7月の爆釣おすすめルアー5選と釣り方のコツ | 釣！浜名湖,/blog/chinutop-july,google / organic,6,6,0.16666666666666666,6,0,6,6,0.16666666666666666,6,0
