# ----------------------------------------
# chohama-main
# 週報PPDCA用-1week-自由形式 1
# 20260912-20260919
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,合計,合計,合計,合計,合計
ページ タイトル,ランディング ページ,セッションの参照元 / メディア,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント
,,,473,395,0.3023255813953488,12.676532769556026,0,473,395,0.3023255813953488,12.676532769556026,0,総計
新居弁天海釣公園ライブカメラ｜浜名湖の海況を釣行前にリアルタイム確認 | 釣！浜名湖,/blog/araibenten-live-camera,google / organic,38,32,0.39473684210526316,14.81578947368421,0,38,32,0.39473684210526316,14.81578947368421,0
浜名湖の釣り禁止エリア・漁業権・マナーまとめ｜知って安心の基礎ルール解説 | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners,google / organic,17,17,0.35294117647058826,22.176470588235293,0,17,17,0.35294117647058826,22.176470588235293,0
新居弁天海釣公園ライブカメラ｜浜名湖の海況を釣行前にリアルタイム確認 | 釣！浜名湖,/blog/araibenten-live-camera,yahoo / organic,15,12,0.5333333333333333,7.666666666666667,0,15,12,0.5333333333333333,7.666666666666667,0
渚園（表浜名湖）の釣りポイント完全解説｜キャンプと「チヌトップ」の聖地を遊び尽くす | 釣！浜名湖,/points/nagisaen,google / organic,15,10,0.3333333333333333,0,0,15,10,0.3333333333333333,0,0
9月の浜名湖釣り完全ガイド｜落ちアユシーバスと秋クロダイの荒食い開幕 | 釣！浜名湖,/blog/9-month,google / organic,8,7,0.125,14,0,8,7,0.125,14,0
浜名湖・車横付け釣り場6選｜駐車場・トイレ完備で子連れ安心のファミリーポイント | 釣！浜名湖,/points/family-car-points,google / organic,8,7,0.625,27.75,0,8,7,0.625,27.75,0
【レシピ】浜名湖のキビレ（キチヌ）！クロダイより甘い？臭みを抑える下処理と絶品料理 | 釣！浜名湖,/blog/kibire-cooking,google / organic,6,6,0,0,0,6,6,0,0,0
浜名湖ハゼ釣りポイント厳選！聖地から穴場まで徹底解説 | 釣！浜名湖,/blog/haze-points,bing / organic,6,6,0.3333333333333333,0,0,6,6,0.3333333333333333,0,0
9月の浜名湖釣り完全ガイド｜落ちアユシーバスと秋クロダイの荒食い開幕 | 釣！浜名湖,/blog/9-month,yahoo / organic,5,5,0.4,0,0,5,5,0.4,0,0
新居弁天海釣公園｜浜名湖No.1の釣りポイント完全ガイド（表浜名湖） | 釣！浜名湖,/points/araibenten-umiduripark,google / organic,5,5,0.4,0,0,5,5,0.4,0,0
浜名湖クロダイ釣りの教科書｜釣法・タックル・時合の全法則 | 釣！浜名湖,/blog/kurodai,google / organic,5,5,0.2,4.4,0,5,5,0.2,4.4,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/map,yahoo / organic,6,5,0.5,0,0,6,5,0.5,0,0
雨でも行ける浜名湖の釣り場5選｜落雷・増水リスクを避けて安全に楽しむ | 釣！浜名湖,/blog/guide/beginner/hamanako-rainy-day-fishing,google / organic,5,5,0.2,0,0,5,5,0.2,0,0
【レシピ】浜名湖のキビレ（キチヌ）！クロダイより甘い？臭みを抑える下処理と絶品料理 | 釣！浜名湖,/blog/kibire-cooking,yahoo / organic,4,4,0,0,0,4,4,0,0,0
【初心者必見】浜名湖のカサゴ・穴釣り＆探り釣り入門ガイド | 釣！浜名湖,/blog/mebaru-kasago-beginner,google / organic,4,4,0.25,0,0,4,4,0.25,0,0
ボートレース浜名湖周辺～表浜名湖のボート釣りポイント紹介～ | 釣！浜名湖,/points/boatrace-hamanako,google / organic,4,4,0.25,0,0,4,4,0.25,0,0
中之島（浜名湖大橋）｜浜名湖のウェーディング聖地を徹底解説 | 釣！浜名湖,/points/nakanoshima,google / organic,4,4,0,0,0,4,4,0,0,0
浜名湖でおすすめのウェーディングポイント10選と注意点 | 釣！浜名湖,/points/wading-points,google / organic,4,4,0.75,0,0,4,4,0.75,0,0
浜名湖でサビキ釣りを楽しもう！おすすめのシーズン・釣り方・釣れる魚種とポイント解説 | 釣！浜名湖,/blog/guide/beginner/hamanako-sabiki-best-season,google / organic,4,4,0,0,0,4,4,0,0,0
浜名湖のイカ釣り完全ガイド｜アオリイカ＆コウイカの時期・ポイント・エギング攻略 | 釣！浜名湖,/blog/squid-complete,bing / organic,5,4,0.4,0,0,5,4,0.4,0,0
浜名湖の車横付け釣りスポット12選｜駐車場完備・ファミリーOKのポイントまとめ | 釣！浜名湖,/points/drive-fishing-spots,google / organic,4,4,0,0,0,4,4,0,0,0
浜名湖の釣り禁止エリア・漁業権・マナーまとめ｜知って安心の基礎ルール解説 | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners,yahoo / organic,4,4,0,0,0,4,4,0,0,0
浜名湖レンタルボート5選｜免許不要プランの料金・予約・安全ルールまとめ | 釣！浜名湖,/blog/rental-boat-guide,bing / organic,4,4,0,0,0,4,4,0,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/map,google / organic,6,4,0.5,0,0,6,4,0.5,0,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/points/miyakodagawa,google / organic,4,4,0.25,106.25,0,4,4,0.25,106.25,0
